Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation,AC Coupled,DC Coupled,DC Tightly Coupled,Independent,Direct Support of Another Unit,Direct Support Plant ID 1,Direct Support Gen ID 1,Direct Support Plant ID 2,Direct Support Gen ID 2,Direct Support Plant ID 3,Direct Support Gen ID 3,Support T&D Asset
803,Arizona Public Service Co,60467,Red Rock,AZ,Maricopa,RR40M,OP,Batteries,BA,Electric Utility,1,41.0,41.0,41.0,11,2023,164,41,41,LIB,,,,25.5,CS,Y,,,Y,,,PR,,Y,,Y,Y,,,,Y,60467,PV1, ,, ,,N
60278,64KT 8me LLC,60491,Springbok 3 Solar Farm Hybrid,CA,Kern,SB3BS,OP,Batteries,BA,IPP Non-CHP,2,1.5,1.5,1.5,7,2019,1.5,1.5,1.5,LIB,,,,1.5,CT,,Y,,,,,,,Y,,PR,,Y,,,Y,60491,SB3SF, ,, ,,N
7601,Green Mountain Power Corp,60518,Stafford Hill Solar Hybrid,VT,Rutland,BA1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,9,2015,3.4,2,2,LIB,PBB,,,0.5,CS,,Y,,,,,PR,,,,Y,,Y,,,N, ,, ,, ,,Y
57313,Tesla Inc.,60546,KIUC Kapaia PV and BA Storage Project Hy,HI,Kauai,BA1,OP,Batteries,BA,IPP Non-CHP,2,13.0,11.0,11.0,5,2017,52,11,11,LIB,,,,7.8,CS,,Y,,Y,,,,,,,PR,Y,,,,Y,60546,PV1, ,, ,,Y
7601,Green Mountain Power Corp,60562,GMP Solar - Panton Hybrid,VT,Addison,GMPBP,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,6,2018,4,1,1,LIB,,,,1,OT,,Y,,,,,PR,,,,Y,,Y,,,N, ,, ,, ,,Y
10433,Kodiak Electric Assn Inc,60563,Flywheel Energy Storage System Microgrid,AK,Kodiak Island,FESS,OP,Flywheels,FW,Electric Utility,1,2.0,2.0,2.0,9,2015,2,2,2,,,,,2,CS,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,, ,, ,, ,,
60336,SDGE Batteries,60565,Borrego Springs Energy Storage,CA,San Diego,SES1,OP,Batteries,BA,Electric Utility,1,0.5,0.5,0.5,12,2012,1.5,0.5,0.5,LIB,,,,1.5,CS,PR,,,,,,Y,,,,,,,,,N, ,, ,, ,,N
60336,SDGE Batteries,60565,Borrego Springs Energy Storage,CA,San Diego,SES2,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,2,2014,3,1,1,LIB,,,,1.5,CS,PR,,,,,,Y,,,Y,,,,,,N, ,, ,, ,,N
60336,SDGE Batteries,60566,Pala Energy Storage Yard,CA,San Diego,SES2,OS,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,8,2015,2,1,1,LIB,,,,1.5,CS,PR,,,,,,Y,,,,,,,,,N, ,, ,, ,,N
60336,SDGE Batteries,60567,Ortega Highway Energy Storage,CA,Orange,SES1,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,5,2015,3,1,1,LIB,,,,2,CS,PR,,,,,,Y,Y,,Y,,,,,,N, ,, ,, ,,N
60336,SDGE Batteries,60567,Ortega Highway Energy Storage,CA,Orange,SES2,OS,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,10,2015,3,1,1,LIB,,,,2,CS,PR,,,,,,Y,Y,,Y,,,,,,N, ,, ,, ,,N
60336,SDGE Batteries,60568,Canyon Crest Academy,CA,San Diego,SES,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,10,2014,3,1,1,LIB,,,,1,CS,PR,,,,,,Y,Y,,Y,,,,,,N, ,, ,, ,,N
16609,San Diego Gas & Electric Co,60569,El Cajon Energy Storage,CA,San Diego,SES,OP,Batteries,BA,Electric Utility,1,7.5,7.5,7.5,2,2017,30,7.5,7.5,LIB,,,,7.5,CS,PR,,Y,Y,,,,,,,,,,,,N, ,, ,, ,,N
16609,San Diego Gas & Electric Co,60570,Escondido Energy Storage,CA,San Diego,SES,OP,Batteries,BA,Electric Utility,1,30.0,30.0,30.0,3,2017,120,30,30,LIB,,,,30,CS,PR,,Y,Y,,,,,,,,,,,,N, ,, ,, ,,N
57313,Tesla Inc.,60607,CMEEC - Polaris Park Solar Hybrid,CT,New London,BA1,OP,Batteries,BA,IPP Non-CHP,2,0.8,0.8,0.8,8,2017,3.3,0.8,0.8,LIB,,,,1,CS,,,,,,,,Y,,Y,PR,Y,,,,Y,60607,PV1, ,, ,,N
57313,Tesla Inc.,60609,CMEEC - Norwich Stott St Solar Hybrid,CT,New London,BA1,OP,Batteries,BA,IPP Non-CHP,2,0.8,0.8,0.8,12,2016,3,0.8,0.8,LIB,,,,1,CS,,,,,,,,,,Y,PR,Y,,,,Y,60609,PV1, ,, ,,N
61978,Convergent Energy and Power LP,60641,Henrietta D Energy Storage LLC,CA,Kings,HDES1,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,11,2021,40,10,10,LIB,,,,10,CS,Y,Y,,,,,PR,,,,,,,,,N, ,, ,, ,,N
60389,Rabbit Hill Energy Storage Project,60649,Rabbit Hill Energy Storage Project,TX,Williamson,1,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,4,2020,9.9,9.9,9.9,LIB,,,,9.9,CS,PR,Y,,,,,,,,,,,,,,N, ,, ,, ,,N
60387,"Townsite Solar, LLC",60654,Townsite Solar Project Hybrid,NV,Clark,GEN02,OP,Batteries,BA,IPP Non-CHP,2,90.0,90.0,90.0,12,2021,360,90,90,LIB,,,,210,CS,Y,Y,,Y,Y,,PR,,Y,,Y,Y,,,,Y,60654,GEN01, ,, ,,N
65549,McHenry Battery Storage,60656,McHenry Battery Storage,IL,McHenry,MCH1,OP,Batteries,BA,IPP Non-CHP,2,20.0,20.0,20.0,2,2016,7.8,19.8,19.8,LIB,,,,6.1,CS,,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
60394,"Willey Battery Utility, LLC",60660,Willey Battery Utility,OH,Hamilton,WBU,OP,Batteries,BA,IPP Non-CHP,2,6.0,6.0,6.0,1,2016,2,6,6,LIB,,,,6,CS,,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
17609,Southern California Edison Co,60661,Mira Loma Energy Storage Facility,CA,San Bernardino,013A,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,12,2016,40,10,10,LIB,,,,3.3,CS,Y,Y,Y,Y,,Y,PR,Y,Y,,,,,,,N, ,, ,, ,,N
17609,Southern California Edison Co,60661,Mira Loma Energy Storage Facility,CA,San Bernardino,013B,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,12,2016,40,10,10,LIB,,,,3.3,CS,Y,Y,Y,Y,,Y,PR,Y,Y,,,,,,,N, ,, ,, ,,N
60409,"Blue Summit Storage, LLC",60690,"Blue Summit Storage, LLC",TX,Wilbarger,WBSS,OP,Batteries,BA,IPP Non-CHP,2,30.0,30.0,30.0,8,2017,12.6,30,30,LIB,,,,12.5,CS,,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
20323,"Wellhead Services, Inc",60698,Stanton Energy Reliability Center Hybrid,CA,Orange,BESS1,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,8,2020,4.5,10,10,LIB,,,,3,CS,,PR,Y,Y,,,,,,,,Y,,,,N,60698,GT1, ,, ,,N
20323,"Wellhead Services, Inc",60698,Stanton Energy Reliability Center Hybrid,CA,Orange,BESS2,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,8,2020,4.5,10,10,LIB,,,,3,CS,,PR,Y,Y,,,,,,,,Y,,,,N,60698,GT2, ,, ,,N
61198,esVolta LP,60760,PPA Grand,CA,Orange,PE101,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,12,2016,8,2,2,LIB,,,,2,BL,PR,Y,,,,,,,,,,,,,,N, ,, ,, ,,N
796,Arizona Electric Pwr Coop Inc,60791,SunAnza,CA,Riverside,BA1&2,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,1,2022,4,2,2,LIB,,,,2,CS,Y,,,,Y,Y,,,,PR,Y,Y,,,,Y,60791,ANZA1, ,, ,,Y
796,Arizona Electric Pwr Coop Inc,60791,SunAnza,CA,Riverside,BA3,OP,Batteries,BA,Electric Utility,1,2.4,2.4,2.4,1,2023,5.2,2.4,2.4,LIB,,,,2.4,CS,Y,,,,Y,Y,,,,PR,Y,Y,,,,Y,60791,ANZA2, ,, ,,Y
57313,Tesla Inc.,60815,Hampshire College Hybrid,MA,Hampshire,BA1,OP,Batteries,BA,IPP Non-CHP,2,0.5,0.5,0.5,5,2017,0.5,0.3,0.3,LIB,,,,0.3,CS,,,,,,,Y,,,Y,PR,Y,,,,Y,60815,PV1, ,, ,,N
57313,Tesla Inc.,60815,Hampshire College Hybrid,MA,Hampshire,BA2,OP,Batteries,BA,IPP Non-CHP,2,0.5,0.5,0.5,12,2017,0.5,0.3,0.3,LIB,,,,0.3,CS,,,,,,,Y,,,Y,PR,Y,,,,Y,60815,PV1, ,, ,,N
60471,"Mt. Tom Solar, LLC",60906,Mt. Tom Solar Project Hybrid,MA,Hampden,BA1,OP,Batteries,BA,IPP Non-CHP,2,3.1,3.1,3.1,3,2019,6.1,2,3.1,LIB,,,,2.3,CS,,,,,,,,PR,,,Y,,Y,,,Y,60906,PV1, ,, ,,Y
58375,Sterling Municipal Light Department,60959,Chocksett Rd Energy Storage Project,MA,Worcester,BA1,OA,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,4,2017,3.9,2,2,LIB,,,,1,CS,Y,,,,,Y,PR,Y,,Y,,,,,,N, ,, ,, ,,N
796,Arizona Electric Pwr Coop Inc,60964,Apache Solar I,AZ,Cochise,AEPB1,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,6,2024,40,10,10,LIB,,,,2,CS,Y,,,Y,,,PR,,Y,,Y,Y,,,,Y,60964,AEPS1, ,, ,,Y
796,Arizona Electric Pwr Coop Inc,60964,Apache Solar I,AZ,Cochise,TRIB1,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,6,2024,40,10,10,LIB,,,,2,CS,Y,,,Y,,,PR,,Y,,Y,Y,,,,Y,60964,AEPS1, ,, ,,Y
7294,City of Glendale - (CA),60974,Glendale Battery Energy Storage System,CA,Los Angeles,2BESS,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,10,2017,1,1,2,LIB,,,,2,CS,,,PR,,,,,,Y,,,,,,,N, ,, ,, ,,N
56215,"Big Sky Wind, LLC",60996,Iron Horse Battery Storage Hybrid,AZ,Pima,BA1,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,4,2017,2.5,10,10,LIB,,,,10,CS,,PR,,,,,,,,,Y,Y,,,,Y,60996,PV1, ,, ,,Y
61012,AES Distributed Energy,61068,AES Lawai Solar Hybrid,HI,Kauai,LAWA2,OP,Batteries,BA,IPP Non-CHP,2,20.0,20.0,20.0,12,2018,100,20,20,LIB,,,,20,CS,,Y,,Y,PR,,Y,,Y,,Y,,,Y,,Y,61068,LAWA1, ,, ,,N
56769,Consolidated Edison Development Inc.,61098,Battle Mountain Solar Project,NV,Humboldt,BMBS,OP,Batteries,BA,IPP Non-CHP,2,25.0,25.0,25.0,6,2021,25,25,25,LIB,,,,0.8,CS,,,,,,,,PR,Y,Y,Y,,Y,,,Y,61098,BMSP, ,, ,,N
60336,SDGE Batteries,61107,Vanadium Redox Flow Battery Plant,CA,San Diego,VRF,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,6,2017,8,2,2,FLB,,,,2.3,CS,PR,Y,Y,,,,Y,Y,Y,Y,,,,,,N, ,, ,, ,,N
60797,68SF 8me LLC,61168,"Eland Solar & Storage Center, Phase 1 Hy",CA,Kern,61168,OP,Batteries,BA,IPP Non-CHP,2,150.0,150.0,150.0,11,2024,600,150,150,LIB,,,,100,CS,,Y,Y,,,,,,Y,,PR,Y,,,,Y,60797,61168, ,, ,,Y
60816,Boston Medical Center,61186,Boston Medical Center CHP Plant,MA,Suffolk,BATT,OP,Batteries,BA,Commercial CHP,5,1.0,1.0,1.0,4,2023,1.1,0.6,0.6,LIB,,,,13.4,CS,,,,,,,PR,,Y,Y,,,,,,N, ,, ,, ,,N
60834,Pima Energy Storage System,61197,Pima Energy Storage System,AZ,Pima,PIMA,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,1,2017,10,8,10,LIB,,,,2.9,CS,,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
62160,"AES ES Alamitos, LLC",61204,"AES ES Alamitos, LLC",CA,Los Angeles,ALMTS,OP,Batteries,BA,IPP Non-CHP,2,100.0,100.0,100.0,1,2021,400,100,100,LIB,,,,100,BL,Y,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
17633,Southern Indiana Gas & Elec Co,61334,Volkman Road Solar Array Hybrid,IN,Vanderburgh,VRSA2,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,1,2019,4.6,1,1,LIB,,,,1.2,CT,,,,,,,Y,,,,PR,Y,,,,Y,61334,VRSA1, ,, ,,N
16609,San Diego Gas & Electric Co,61365,Fallbrook Energy Storage,CA,San Diego,FBES,OP,Batteries,BA,Electric Utility,1,40.0,40.0,40.0,3,2023,40,40,40,LIB,,,,35,CS,PR,Y,Y,,,,,,,,,,,,,N, ,, ,, ,,N
16609,San Diego Gas & Electric Co,61366,Top Gun Energy Storage,CA,San Diego,TGES,OP,Batteries,BA,Electric Utility,1,30.0,30.0,30.0,6,2021,120,30,30,LIB,,,,30,CS,PR,,Y,Y,,,,,,,,,,,,N, ,, ,, ,,N
11208,Los Angeles Department of Water & Power,61431,Beacon BESS 1,CA,Kern,BCNB1,OP,Batteries,BA,Electric Utility,1,20.0,20.0,20.0,10,2018,10,20,20,LIB,,,,15,CS,,Y,,,Y,,,,Y,,PR,,,,Y,Y,59315,BEAC1, ,, ,,N
61091,Hopewell Valley High School,61473,Hopewell Valley High School Hybrid,NJ,Mercer,BA1,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,12,2015,1,0.5,0.5,LIB,,,,0.5,BL,,Y,,,Y,,Y,,Y,PR,,Y,,,,Y,61473,HWVHS, ,, ,,N
61153,"Montevue Lane Solar, LLC",61552,Fort Detrick Solar PV,MD,Frederick,FDSBS,OP,Batteries,BA,IPP Non-CHP,2,6.0,6.0,6.0,2,2024,6,6,6,LIB,,,,1.7,CS,,PR,,,,,,,,,Y,,Y,,,Y,61153,61552, ,, ,,N
61277,"Vista Energy Storage, LLC",61661,Vista Energy Storage System ,CA,San Diego,VISTA,OP,Batteries,BA,IPP Non-CHP,2,40.0,40.0,40.0,6,2018,38,40,40,LIB,,,,40,BL,PR,Y,,Y,,,,,,,,,,,,N, ,, ,, ,,N
61295,"Pinal Central Energy Center, LLC",61678,Pinal Central Energy Center Hybrid,AZ,Pinal,BA1,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,4,2018,40,10,10,LIB,,,,10,CS,,PR,,,,,Y,,,,Y,Y,,,,N, ,, ,, ,,N
61344,Electrodes,61721,Baldwin (CA),CA,Orange,WLA01,OP,Batteries,BA,Commercial Non-CHP,4,1.0,1.0,1.0,8,2019,6.9,1,1,LIB,,,,1,CS,Y,,,,,,Y,PR,,,,,,,,N, ,, ,, ,,N
61344,Electrodes,61722,HEBT Irvine 1,CA,Orange,IRV01,OP,Batteries,BA,IPP Non-CHP,2,1.0,1.0,1.0,5,2018,6.5,1,1,LIB,,,,1,CS,,,,,,,Y,PR,,,,,,,,N, ,, ,, ,,N
61344,Electrodes,61722,HEBT Irvine 1,CA,Orange,IRV1W,OP,Batteries,BA,IPP Non-CHP,2,4.5,4.5,4.5,5,2018,27,4.5,4.5,LIB,,,,4.5,CS,,,,,,,Y,PR,,,,,,,,N, ,, ,, ,,N
61344,Electrodes,61723,HEBT Irvine 2,CA,Orange,IRV06,OP,Batteries,BA,IPP Non-CHP,2,2.5,2.5,2.5,8,2018,15,2.5,2.5,LIB,,,,2.5,CS,,,,,,,Y,PR,,,,,,,,N, ,, ,, ,,N
61344,Electrodes,61723,HEBT Irvine 2,CA,Orange,IRV2W,OP,Batteries,BA,IPP Non-CHP,2,3.3,3.3,3.3,2,2018,19.8,3.3,3.3,LIB,,,,3.3,CS,,,,,,,Y,PR,,,,,,,,N, ,, ,, ,,N
58764,"Origis Energy USA, Inc",61730,MA Solar Storage 1 Hybrid,MA,Worcester,61730,OP,Batteries,BA,IPP Non-CHP,2,1.0,1.0,1.0,4,2018,2,1,1,LIB,,,,1,CS,Y,,,,,,PR,,,,Y,,Y,,,Y,61730,SCSS1, ,, ,,N
61364,Lockheed Martin RMS Syracuse,61739,Lockheed Martin RMS Syracuse,NY,Onondaga,SYR1,OS,Batteries,BA,Industrial Non-CHP,6,1.0,1.0,1.0,8,2017,1.3,1,1,LIB,,,,1,CS,Y,,,,,,PR,Y,,,,,,,,N, ,, ,, ,,N
1015,Austin Energy,61741,Kingsberry Energy Storage System,TX,Travis,KBESS,OP,Batteries,BA,Electric Utility,1,1.5,1.5,1.5,9,2018,3,1.5,1.5,LIB,,,,1.5,CS,PR,,,,,,,,,,,,,,,N, ,, ,, ,,Y
1015,Austin Energy,61742,System Control Center,TX,Travis,GEN1,SB,Flywheels,FW,Electric Utility,1,2.5,2.5,2.5,6,2012,2.5,2.5,2.5,,,,,0,CS,,,,,,,,,,Y,,,,,,, ,, ,, ,,
1015,Austin Energy,61742,System Control Center,TX,Travis,GEN2,SB,Flywheels,FW,Electric Utility,1,2.5,2.5,2.5,6,2012,2.5,2.5,2.5,,,,,0,CS,,,,,,,,,,Y,,,,,,, ,, ,, ,,
6452,Florida Power & Light Co,61763,Sunshine Gateway Solar Energy Center,FL,Columbia,2,OP,Batteries,BA,Electric Utility,1,30.0,30.0,30.0,12,2021,75,30,30,LIB,,,,30,CS,,,,,,Y,PR,,,,Y,Y,,,,Y,61763,1, ,, ,,Y
61420,ENGIE Storage Services NA LLC,61795,Pacific Union College BESS,CA,Napa,12649,OP,Batteries,BA,Commercial Non-CHP,4,1.0,1.0,1.0,6,2020,2,1,1,LIB,,,,1,CS,Y,,PR,,,,,Y,,,,,,,,N, ,, ,, ,,N
56201,Engie North America,61801,"Cascade Energy Storage, LLC",CA,San Joaquin,10002,OP,Batteries,BA,IPP Non-CHP,2,25.0,25.0,25.0,9,2024,100,25,25,LIB,,,,11.5,CS,Y,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
61482,"AES ES GILBERT, LLC",61861,AES ES GILBERT,AZ,Maricopa,SRP,OS,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,1,2019,40,10,10,LIB,,,,10,BL,PR,,,,,,,,,,,,,,,N, ,, ,, ,,N
61506,"Stryker 22, L.L.C.",61891,"Stryker 22, L.L.C.",NJ,Warren,EDGRD,OP,Batteries,BA,IPP Non-CHP,2,19.8,19.8,19.8,12,2018,19.8,19.8,19.8,LIB,,,,19.8,CS,Y,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
61507,Plumsted 537 LLC,61892,Plumsted 537 LLC,NJ,Ocean,PLMST,OP,Batteries,BA,IPP Non-CHP,2,19.8,19.8,19.8,2,2019,19.8,19.8,19.8,LIB,,,,19.8,CS,,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
61944,MN8 Energy LLC,61901,Redstone Arsenal Hybrid,AL,Madison,BA,OP,Batteries,BA,IPP Non-CHP,2,1.0,1.0,1.0,12,2017,2,0.5,0.5,LIB,,,,1,CS,Y,,,,,,,,,,PR,Y,,,,Y,61901,REDST, ,, ,,N
4254,Consumers Energy Co - (MI),61909,Parkview Battery,MI,Kalamazoo,PKVWB,OP,Batteries,BA,Electric Utility,1,1.1,1.0,1.0,9,2018,1,1.1,1.1,LIB,,,,1.1,CS,,,,,,,PR,,,,,,,,,N, ,, ,, ,,Y
61522,"Viridity Energy Solutions, Inc.",61923,ACUA,NJ,Atlantic,VACUA,OP,Batteries,BA,IPP Non-CHP,2,1.0,1.0,1.0,6,2018,1,1,1,LIB,,,,1,CS,,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
61531,"Casa Mesa Wind, LLC",61925,Casa Mesa Wind Energy Center Hybrid,NM,Quay,CMNMB,OP,Batteries,BA,IPP Non-CHP,2,1.0,1.0,1.0,11,2018,1,1,1,LIB,,,,12.5,CS,,Y,,,,,,,,,PR,,,,Y,Y,61925,CMNM, ,, ,,Y
60146,Ameresco Federal Solutions,61956,MCRD Parris Island PV Hybrid,SC,Beaufort,TBESS,OP,Batteries,BA,IPP Non-CHP,2,4.0,4.0,4.0,12,2018,8,4,4,LIB,,,,4,CS,,,,,,,Y,,,Y,PR,,Y,,,Y,61956,GRDMT,61956,CARPT, ,,N
61576,Ameren Illinois,61990,TAC-Distributed Energy Resource Hybrid,IL,Champaign,BA,OP,Batteries,BA,Electric Utility,1,0.3,0.3,0.3,5,2017,0.5,0.3,0.3,LIB,,,,0.3,CT,,,Y,,,,,Y,,PR,Y,Y,,,,N,61990,SOLAR, ,, ,,Y
61872,Gavilan District College Solar Project,61993,Gavilan Community College Solar Project,CA,Santa Clara,GDCBA,OP,Batteries,BA,Commercial Non-CHP,4,0.5,0.5,0.5,6,2019,0.5,0.2,0.3,LIB,,,,0.3,CS,,,,,,,PR,,,,Y,Y,,,,N,61993,GDCBA, ,, ,,N
61944,MN8 Energy LLC,61995,UC Merced Solar Hybrid,CA,Merced,UCMBA,OP,Batteries,BA,IPP Non-CHP,2,0.5,0.5,0.5,12,2018,0.9,0.5,0.5,LIB,,,,0.5,CS,,,,,,,Y,,,,PR,Y,,,,Y,61995,UCMPV, ,, ,,N
61597,Caldwell Wastewater Treatment Plant,62027,Caldwell Wastewater Treatment Plant Hybr,NJ,Essex,BAT1,OP,Batteries,BA,Electric Utility,1,1.0,0.5,0.5,12,2016,2,0.5,0.5,OTH,,,,0.5,CS,,Y,,,Y,,,,,PR,Y,Y,,,,N,62027,PV1, ,, ,,N
61687,"KCE NY 1, LLC",62147,KCE NY 1,NY,Saratoga,KNY1,OP,Batteries,BA,IPP Non-CHP,2,20.0,20.0,20.0,3,2019,8.4,20,20,LIB,,,,6.5,CS,,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
61684,"Diablo Energy Storage, LLC",62175,Diablo Energy Storage,CA,Contra Costa,DIBLO,OP,Batteries,BA,IPP Non-CHP,2,200.0,200.0,200.0,4,2022,800,200,200,LIB,,,,66,CS,PR,Y,Y,Y,,,,,,,,,,,,N, ,, ,, ,,N
11806,Massachusetts Mun Wholes Electric Co,62219,Ashburnham Energy Storage Project,MA,Worcester,AMLPB,OP,Batteries,BA,Electric Utility,1,3.0,3.0,3.0,3,2019,3,3,3,LIB,,,,3,CT,,,,,,,PR,,,,,,,,,N, ,, ,, ,,N
61752,Lone Star Solar,62235,Lone Star Solar,SC,Calhoun,50,OP,Batteries,BA,IPP Non-CHP,2,66.0,66.0,66.0,12,2024,198,66,66,LIB,,,,74.9,CS,,,,,Y,,PR,,,,Y,,Y,,,Y,61752,49, ,, ,,N
61768,Arrow Canyon Solar LLC,62248,Arrow Canyon Solar Hybrid,NV,Clark,2,OP,Batteries,BA,IPP Non-CHP,2,75.0,75.0,75.0,12,2023,375,40,40,LIB,,,,75,CS,PR,,,,,,,,,,Y,,,Y,,Y,62248,1, ,, ,,N
2144,Town of Braintree - (MA),62257,Station 9 Energy Storage System,MA,Norfolk,ESS1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,6,2018,4.2,2,2,LIB,,,,2,CS,,,,,,,PR,,,,,,,,,N, ,, ,, ,,N
19499,"United Power, Inc",62373,I25 Battery Storage,CO,Weld,I25BA,OP,Batteries,BA,Electric Utility,1,4.0,4.0,4.0,12,2018,16,4,4,LIB,,,,0.4,CS,,,,,,,PR,,,,,,,,,N, ,, ,, ,,Y
7601,Green Mountain Power Corp,62381,GMP Solar/Storage-Milton Hybrid,VT,Chittenden,GMPBM,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,9,2019,8,2,2,LIB,,,,2,OT,Y,Y,,,,,PR,,,,,,,,,N, ,, ,, ,,Y
7601,Green Mountain Power Corp,62382,GMP Solar/Storage-Ferrisburgh Hybrid,VT,Addison,GMPBF,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,9,2019,8,2,2,LIB,,,,2,OT,Y,Y,,,,,PR,,,,,,,,,N, ,, ,, ,,Y
7601,Green Mountain Power Corp,62383,GMP Solar/Storage-Essex Hybrid,VT,Chittenden,GMPBE,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,9,2019,8,2,2,LIB,,,,2,OT,Y,Y,,,,,PR,,,,,,,,,N, ,, ,, ,,Y
61957,Kearny Mesa Storage LLC,62441,Kearny Mesa Storage LLC,CA,San Diego,U1,OP,Batteries,BA,IPP Non-CHP,2,1.0,1.0,1.0,2,2020,1,1,1,LIB,,,,1,CS,PR,,,,,,,,,Y,,,,,,N, ,, ,, ,,N
61728,GlidePath Power Operations LLC,62444,Meyersdale Battery,PA,Somerset,BMY,OP,Batteries,BA,IPP Non-CHP,2,18.0,18.0,18.0,12,2015,12.1,18,18,LIB,,,,18,CT,,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
17609,Southern California Edison Co,62460,DESI-2 Battery Storage Facility,CA,Orange,DESI2,OP,Batteries,BA,Electric Utility,1,1.4,1.4,1.4,10,2019,3.7,1.4,1.4,LIB,,,,1.4,CS,,,,,,,PR,,,,,,,,,N, ,, ,, ,,Y
6452,Florida Power & Light Co,62490,Echo River Solar,FL,Suwannee,2,OP,Batteries,BA,Electric Utility,1,30.0,30.0,30.0,12,2021,75,30,30,LIB,,,,30,CS,,,,,,Y,PR,,,,Y,Y,,,,Y,62490,1, ,, ,,Y
61978,Convergent Energy and Power LP,62497,Orange County Energy Storage 2,CA,Orange,OCES2,OA,Batteries,BA,IPP Non-CHP,2,9.0,9.0,9.0,11,2021,36,9,9,LIB,,,,9,CS,Y,Y,,,,,PR,,,,,,,,,N, ,, ,, ,,N
61978,Convergent Energy and Power LP,62499,Orange County Energy Storage 3,CA,Orange,OCES3,OA,Batteries,BA,IPP Non-CHP,2,6.0,6.0,6.0,11,2021,24,6,6,LIB,,,,6,CS,Y,Y,,,,,PR,,,,,,,,,N, ,, ,, ,,N
6455,"Duke Energy Florida, LLC",62541,Lake Placid Solar Power Plant,FL,Highlands,ES1,OP,Batteries,BA,Electric Utility,1,17.3,17.3,17.3,2,2023,36,17.3,17.3,LIB,,,,12,CS,,,,Y,Y,,,,,,PR,,Y,,,Y,62541,PV1, ,, ,,Y
62047,"Roadrunner Solar, LLC",62561,"Roadrunner, LLC Hybrid",TX,Upton,BA,OP,Batteries,BA,IPP Non-CHP,2,63.3,50.0,50.0,7,2023,108.6,50,50,LIB,,,,81,CS,PR,Y,,,,,,,Y,,,,,,,N, ,, ,, ,,N
