ercot_substation,lat,lon,match_source,confidence,score,matched_name,load_zone,max_voltage_kv,eia_plant_code,osm_id,propagated_from,mora_county,mora_fuel,county_validated,county_dist_km,gnis_class,gnis_county,psse_readable,hv_osm_345_id,hv_endpoint_dist_km,original_match_source,original_confidence,snap_distance_km,snap_status,snap_rule,snap_candidate_name,snap_candidate_kv
BULRD,32.13988,-95.320229,gnis,medium,86.6,Bullard,LZ_NORTH,138.0,,,ROUGH,,,,,Populated Place,SMITH,BULLA,,,,,,,,,
BUN,30.397151,-93.942677,gnis,medium,88.4,Bunker Hill,LZ_HOUSTON,138.0,,,LK,,,,,Populated Place,JASPER,BUNKER,,,,,,,,,
BUNSEN,27.761539,-97.818459,osm,high,100,Bunsen Substation,LZ_SOUTH,138.0,,490190261,,,,,,,,,,,,,,,,,
BUR,32.542082,-97.320849,gnis,high,100.0,Burleson,LZ_NORTH,138.0,,,,,,,,Populated Place,JOHNSON,BURLESON,,,,,,,,,
BURLESON,30.214733,-97.736555,osm,high,100,Burleson Substation,LZ_SOUTH,138.0,,339106914,,,,,,,,,,,,,,,,,
BURNET,30.759218,-98.237385,osm,high,100,Burnet Substation,LZ_SOUTH,138.0,,504783132,,,,,,,,,,,,,,,,,
BUROW_RC,35.687089,-97.226759,propagated,low,0,,LZ_NORTH,138.0,,,REDBUD,,,,,,,,,,,,,,,,
BURSW,29.262221,-98.427356,hv_endpoint,low,0,,LZ_WEST,345.0,,,BEXAR_ES,,,,,,,,,2.9,,,,,,,
BUSBY,32.622891,-100.42094,gnis,medium,86.6,Busby,LZ_WEST,138.0,,,WICKT,,,,,Populated Place,FISHER,BUSBYCV,,,,,,,,,
BUSHKNOB,33.105312,-99.17868,osm,high,100.0,Bush Knob Substation,LZ_WEST,69.0,,519131244,,,,,,,,,,,,,,,,,
BUS_PARK,29.271,-98.456,propagated,low,0,,LZ_NORTH,69.0,,,BEXAR_ES,,,,,,,,,,,,,,,,
BUT,31.663783,-95.923573,gnis,high,100.0,Butler,LZ_NORTH,138.0,,,,,,,,Populated Place,FREESTONE,BUTLER,,,,,,,,,
BUTLER,30.389489,-97.324838,osm,high,100,Butler Substation,LZ_SOUTH,138.0,,509586593,,,,,,,,,,,,,,,,,
BUTLR_RD,29.488979,-95.109518,osm,medium,91.7,Butler Road Substation,LZ_HOUSTON,138.0,,583820976,,,,,,,,,,,,,,,,,
BUTMAN,32.449351,-100.073856,osm,high,100,Butman Substation,LZ_WEST,138.0,,491192830,,,,,,,,,,,,,,,,,
BUTTER,30.389489,-97.324838,osm,medium,90.3,Butler Substation,LZ_SOUTH,138.0,,509586593,,,,,,,,,,,,,,,,,
BUTTN,32.857896,-97.511964,propagated,low,0,,LZ_NORTH,138.0,,,AZLES,,,,,,,,,,,,,,,,
BUZI_SLR,29.468402,-95.178762,propagated,low,0,,LZ_WEST,345.0,,,SEMINOLE,,,,,,,,,,,,,,,,
BUZSW,35.91254,-97.604869,propagated,low,0,,LZ_WEST,138.0,,,CRSCN,,,,,,,,,,,,,,,,
BV,30.660799,-96.302385,gnis,medium,85.7,Brazos County,LZ_HOUSTON,138.0,,,SE,,,,,Civil,BRAZOS,BRAZOS,,,,,,,,,
BVE,29.626951,-95.812566,mora_osm,high,94.6,Brazos Valley Substation,LZ_HOUSTON,345.0,,127588218,GATESVL2,FORT BEND,GAS-CC,,,,,,,,,,,,,,
BW,29.6093413,-95.04952392,cp_osm,high,100.0,Bayway Substation,LZ_HOUSTON,138.0,,335719118,LK,,,,,,,,,,,,,,,,
BWDSW,26.524051,-98.745468,hv_endpoint,low,0,,LZ_WEST,345.0,,,MESTENO,,,,,,,,,0.0,,,,,,,
BWNSW,31.774262,-98.999794,gnis,medium,84.1,Brown County,LZ_NORTH,345.0,,,,,,,,Civil,BROWN,BROWN,,,,,,,,,
BY,29.839415,-95.35376,mora_osm,medium,85.5,Berry Substation,LZ_HOUSTON,138.0,,147292999,LK,HARRIS,STORAGE,,,,,,,,,,,,,,
BYLOR,33.61649,-99.213515,gnis,medium,85.7,Baylor County,LZ_NORTH,138.0,,,BEXAR_ES,,,,,Civil,BAYLOR,BAYLOR,,,,,,,,,
BYN,30.674364,-96.369963,gnis,high,100.0,Bryan,LZ_HOUSTON,138.0,,,LK,,,,,Populated Place,BRAZOS,BRYAN,,,,,,,,,
BYNM_SLR,35.40238,-101.15404,propagated,low,0,,LZ_NORTH,69.0,,,RAILHEAD,,,,,,,,,,,,,,,,
BYP,30.401397,-97.580803,hv_endpoint,low,0,,LZ_HOUSTON,345.0,,,JOLLYVIL,,,,,,,,,21.1,,,,,,,
BYR,29.563235,-95.800453,propagated,low,0,,LZ_HOUSTON,138.0,,,FT,,,,,,,,,,,,,,,,
BYRDR_ES,28.197778,-97.444953,propagated,low,0,,LZ_HOUSTON,138.0,,,CRANELL,,,,,,,,,,,,,,,,
BYRSW,31.91348,-99.042001,gnis,high,91.0,Byrds,LZ_WEST,345.0,,,CRANELL,,,,,Populated Place,BROWN,BYRD,,,,,,,,,
BYU,29.87,-95.4815,gnis,medium,87.0,Bayou Bend,LZ_HOUSTON,138.0,,,CHAMON,,,,,Populated Place,HARRIS,BAYOU,,,,,,,,,
BZ,31.4647,-96.985,propagated,low,0,,LZ_HOUSTON,138.0,,,LK,,,,,,,,,,,,,,,,
B_DAVIS,28.7997,-98.757247,gnis,high,100.0,Davis,LZ_SOUTH,138.0,,,PEARSALL,,,,,Populated Place,ATASCOSA,DAVIS,,,,,,,,,
C0,26.936163,-98.135283,gnis,high,100.0,Encino,LZ_SOUTH,138.0,,,WESLACO,,,,,Populated Place,BROOKS,ENCINO,,,,,,,,,
C2,29.0,-98.0,lz_centroid,none,0,,LZ_SOUTH,138.0,,,,,,,,,,,,,,,,,,,
C3,29.133578,-98.156119,gnis,medium,87.3,Floresville,LZ_SOUTH,138.0,,,DOWNIES,,,,,Populated Place,WILSON,FLORESVI,,,,,,,,,
C4,29.463288,-98.38557,gnis,high,100.0,Kirby,LZ_SOUTH,138.0,,,BENBOLT,,,,,Populated Place,BEXAR,KIRBY,,,,,,,,,
C5,29.418845,-98.335847,gnis,high,100.0,Martinez,LZ_SOUTH,138.0,,,CALAVERS,,,,,Populated Place,BEXAR,MARTINEZ,,,,,,,,,
CA,29.786064,-95.906065,gnis,high,93.8,Cardiff,LZ_HOUSTON,138.0,,,LK,,,,,Populated Place,WALLER,CARDIF,,,,,,,,,
CABANISS,27.720421,-97.43787,osm,high,100,Cabaniss Substation,LZ_SOUTH,138.0,,204072444,,,,,,,,,,,,,,,,,
CABEZNTP,30.948403,-103.36201,propagated,low,0,,LZ_SOUTH,345.0,,,SOLSTICE,,,,,,,,,,,,,,,,
CABEZON,31.95206,-97.864845,hv_endpoint,low,0,,LZ_SOUTH,345.0,,,GATESVL2,,,,,,,,,50.8,,,,,,,
CAC,28.963589,-95.854677,gnis,medium,87.0,Caney,LZ_SOUTH,138.0,,,LK,,,,,Populated Place,MATAGORDA,CANEY X60T,,,,,,,,,
CACH_ESS,29.271,-98.456,propagated,low,0,,LZ_SOUTH,138.0,,,BEXAR_ES,,,,,,,,,,,,,,,,
CACTUS,30.787778,-101.832089,osm,medium,88.8,Cactus Tapping Station,LZ_WEST,69.0,,496524767,,,,,,,,,,,,,,,,,
CADDO,32.71818,-98.668394,gnis,high,100.0,Caddo,LZ_WEST,138.0,,,,,,,,Populated Place,STEPHENS,CADDO,,,,,,,,,
CADDOTN,29.379616,-94.94402,osm,medium,91.0,Caddo Substation,LZ_HOUSTON,138.0,,338801839,,,,,,,,,,,,,,,,,
CAGNON,29.416558,-98.718122,osm,high,92.9,Cagnon Road Substation,LZ_SOUTH,345.0,,96742192,,,,,,,,,,,,,,,,,
CAL,31.503698,-97.762643,propagated,low,0,,LZ_HOUSTON,138.0,,,GATESVL2,,,,,,,,,,,,,,,,
CALAJANE,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,138.0,,,,,,,,,,,,,,,,,,,
CALALS,27.867522,-97.623051,gnis,medium,87.3,Calallen,LZ_SOUTH,69.0,,,CARANCUA,,,,,Populated Place,NUECES,CALALLENSUB,,,,,,,,,
CALAVERS,30.974755,-96.672826,osm,medium,83.2,Calvert Substation,LZ_SOUTH,345.0,,510537842,,BEXAR,,False,247.0,,,,,,,,,,,,
CALCRKTP,28.448148,-99.255124,propagated,low,0,,LZ_WEST,138.0,,,COTULAS,,,,,,,,,,,,,,,,
CALDWE,30.531315,-96.69303,gnis,medium,88.5,Caldwell,LZ_SOUTH,138.0,,,,,,,,Populated Place,BURLESON,CALDWE,,,,,,,,,
CALFT,26.523359,-99.017108,propagated,low,0,,LZ_WEST,138.0,,,STARR,,,,,,,,,,,,,,,,
CALHOUN,28.439109,-96.615074,gnis,medium,87.0,Calhoun County,LZ_SOUTH,138.0,,,BEXAR_ES,,,,,Civil,CALHOUN,CALHOUN,,,,,,,,,
CALIF_TN,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,69.0,,,,,,,,,,,,,,,,,,,
CALI_CRK,31.186,-103.128,propagated,low,0,,LZ_WEST,138.0,,,TAYGETE,,,,,,,,,,,,,,,,
CALLAHAN,32.303889,-100.021667,eia860,medium,88.1,Callahan Divide Wind Energy Center,LZ_WEST,138.0,56270,,,CALLAHAN,,True,77.6,,,,,,,,,,,,
CALLICOA,26.167627,-98.097755,propagated,low,0,,LZ_SOUTH,138.0,,,ELGATO,,,,,,,,,,,,,,,,
CALONPTR,32.865417,-97.099401,propagated,low,0,,LZ_WEST,138.0,,,EULES,,,,,,,,,,,,,,,,
CALVERT,30.977965,-96.673863,gnis,high,100.0,Calvert,LZ_NORTH,69.0,,,CHOATE,,,,,Populated Place,ROBERTSON,CALVERT,,,,,,,,,
CAL_WWKS,33.221074,-96.917938,propagated,low,0,,LZ_SOUTH,69.0,,,NAVO,,,,,,,,,,,,,,,,
CAM,30.917138,-94.734374,gnis,high,100.0,Camden,LZ_HOUSTON,138.0,,,LK,,,,,Populated Place,POLK,CAMDEN,,,,,,,,,
CAMERON,26.195278,-97.466111,eia860,medium,88.2,Cameron Wind 1 LLC,LZ_SOUTH,138.0,59118,,,,,,,,,,,,,,,,,,
CAMPBELL,33.14817,-95.951356,gnis,high,100.0,Campbell,LZ_NORTH,138.0,,,HOLSTEIN,,,,,Populated Place,HUNT,CAMPBELL,,,,,,,,,
CAMPGA,29.881291,-97.866479,osm,medium,88.2,Camp Gary Substation,LZ_SOUTH,138.0,,232387824,,,,,,,,,,,,,,,,,
CAMPN,31.826283,-94.040193,gnis,medium,81.1,Campti,LZ_NORTH,138.0,,,STARR,,,,,Populated Place,SHELBY,CAMPION,,,,,,,,,
CAMPSANS,29.0,-98.0,lz_centroid,none,0,,LZ_SOUTH,69.0,,,,,,,,,,,,,,,,,,,
CAMPSPGS,32.759349,-100.823534,osm,medium,88.2,Camp Springs Wind 2 Substation,LZ_WEST,138.0,,467959140,,,,,,,,,,,,,,,,,
CAMPWOOD,29.664198,-100.022616,osm,high,100.0,Camp Wood Substation,LZ_SOUTH,69.0,,15389627,,,,,,,,,,,,,,,,,
CAMRN,30.849338,-96.989482,osm,medium,90.7,Cameron Substation,LZ_SOUTH,69.0,,462426857,,,,,,,,,,,,,,,,,
CAMWIND,26.195589,-97.467114,mora_osm,medium,87.0,Cameron Wind Substation,LZ_SOUTH,138.0,,512007649,ANACACHO,CAMERON,WIND-C,,,,,,,,,,,,,,
CANAL_RD,31.517,-100.6,propagated,low,0,,LZ_WEST,138.0,,,RAMBLER,,,,,,,,,,,,,,,,
CANSW,30.464605,-97.757305,propagated,low,0,,LZ_SOUTH,138.0,,,NORTHWES,,,,,,,,,,,,,,,,
CANTN,36.058389,-98.747195,osm,high,92.6,Canton 1 Substation,LZ_NORTH,138.0,,719462329,,,,,,,,,,,,,,,,,
CANTWELL,27.811481,-97.444332,osm,high,100,Cantwell Substation,LZ_SOUTH,138.0,,488508005,,,,,,,,,,,,,,,,,
CANYHY,29.271,-98.456,propagated,low,0,,LZ_SOUTH,138.0,,,BEXAR_ES,,,,,,,,,,,,,,,,
CANYN,29.87056,-98.194733,eia860,high,92.6,Canyon,LZ_NORTH,138.0,791,,,,,,,,,,,,,,,,,,
CANYON,29.87056,-98.194733,snap_eia860,medium,100.0,Canyon,LZ_SOUTH,138.0,791,341093644,,,,,,,,,,,eia860,high,0.025,auto,same_lz_nearest_osm_le_1km,,138.0
CANYONRO,29.87056,-98.194733,eia860,medium,88.5,Canyon,LZ_WEST,138.0,791,,,,,,,,,,,,,,,,,,
CANYONWD,29.87056,-98.194733,eia860,medium,88.5,Canyon,LZ_WEST,138.0,791,,,SCURRY,,False,419.4,,,,,,,,,,,,
CAPELLA,32.482748,-99.926677,osm,high,100,Capella Station,LZ_WEST,69.0,,1394838560,,,,,,,,,,,,,,,,,
CAPOTE,29.568308,-97.878346,osm,high,100,Capote Substation,LZ_SOUTH,138.0,,196121203,,,,,,,,,,,,,,,,,
CAPRIDG4,31.951958,-101.018936,mora_eia860,high,95.2,Capricorn Ridge Wind LLC,LZ_WEST,345.0,56763,,KENTST,STERLING,WIND-O,,,,,,,,,,,,,,
CAPRIDGE,31.951958,-101.018936,mora_eia860,high,95.2,Capricorn Ridge Wind LLC,LZ_WEST,345.0,56763,,WORSHAM,STERLING,WIND-O,,,,,,,,,,,,,,
CAPSCRNR,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,69.0,,,,,,,,,,,,,,,,,,,
CAR,30.594644,-96.078012,gnis,high,100.0,Carlos,LZ_NORTH,138.0,,,CRANELL,,,,,Populated Place,GRIMES,CARLOS,,,,,,,,,
CARANCS,30.719148,-101.199763,propagated,low,0,,LZ_SOUTH,69.0,,,OZONA,,,,,,,,,,,,,,,,
CARANCUA,28.744248,-96.422262,osm,high,94.8,Carancahua Substation,LZ_SOUTH,69.0,,337882119,,,,,,,,,,,,,,,,,
CARA_ESS,29.271,-98.456,propagated,low,0,,LZ_SOUTH,138.0,,,BEXAR_ES,,,,,,,,,,,,,,,,
CARBN,32.27069,-98.828672,gnis,high,100.0,Carbon,LZ_WEST,69.0,,,GATESVL2,,,,,Populated Place,EASTLAND,CARBON,,,,,,,,,
CARDINAL,31.173772,-98.657319,eia860,high,93.6,Cardinal Solar (TX),LZ_SOUTH,138.0,67775,,,,,,,,,,,,,,,,,,
CARIZOS,29.0,-98.0,lz_centroid,none,0,,LZ_SOUTH,69.0,,,,,,,,,,,,,,,,,,,
CARKLAND,31.567567,-100.573572,osm,medium,83.0,Carlsbad Substation,LZ_WEST,69.0,,192488201,,,,,,,,,,,,,,,,,
CARLSBAD,32.44527,-104.20019,osm,high,100.0,Carlsbad Sub,LZ_WEST,69.0,,183373829,,,,,,,,,,,,,,,,,
CARLTON,31.983541,-98.190241,osm,high,100,Carlton Substation,LZ_NORTH,69.0,,517717723,,,,,,,,,,,,,,,,,
CARML,26.523359,-99.017108,propagated,low,0,,LZ_WEST,138.0,,,STARR,,,,,,,,,,,,,,,,
CARN_ESS,29.271,-98.456,propagated,low,0,,LZ_SOUTH,138.0,,,BEXAR_ES,,,,,,,,,,,,,,,,
CARRIZO,28.493205,-99.884543,osm,medium,90.2,Carrizo Springs Substation,LZ_SOUTH,69.0,,452115709,,DIMMIT,,True,24.8,,,,,,,,,,,,
CARSON,30.203209,-97.687152,osm,medium,91.4,Carson Creek Substation,LZ_SOUTH,138.0,,224820000,,,,,,,,,,,,,,,,,
CARTER,32.906791,-97.741418,gnis,high,100.0,Carter,LZ_NORTH,138.0,,,ESPULA9,,,,,Populated Place,PARKER,CARTER,,,,,,,,,
CARTWHL,33.085924,-95.616403,mora_ix_queue,high,94.2,Sulphur Springs Switching Station,LZ_NORTH,345.0,,172047287,JOLLYVIL,HOPKINS,STORAGE,,,,,,,,,,,,,,
CARVER,33.564482,-101.83151,osm,high,100.0,Carver Substation,LZ_WEST,138.0,,466088494,,,,,,,,,,,,,,,,,
CASA_BLA,27.998259,-97.908078,osm,medium,91.7,Casa Blanca Substation,LZ_SOUTH,69.0,,489453635,,,,,,,,,,,,,,,,,
CASL_GAP,31.39376,-98.35936,eia860,medium,90.8,Castle Gap Wind,LZ_WEST,138.0,65790,,,,,,,,,,,,,,,,,,
CASSAVA,32.482748,-99.926677,propagated,low,0,,LZ_WEST,69.0,,,CAPELLA,,,,,,,,,,,,,,,,
CASTEL,30.738446,-98.963264,osm,high,98.4,Castell Substation,LZ_SOUTH,138.0,,336105669,,,,,,,,,,,,,,,,,
CASTIL,31.25363,-102.306315,osm,high,92.9,Castillo Substation,LZ_WEST,138.0,,579799495,,,,,,,,,,,,,,,,,
CASTL,32.92138,-96.614243,osm,high,97.3,Castle Substation,LZ_NORTH,138.0,,346508751,,,,,,,,,,,,,,,,,
CASTLEGA,31.39376,-98.35936,eia860,medium,91.0,Castle Gap Wind,LZ_WEST,138.0,65790,,,,,,,,,,,,,,,,,,
CASTMO,29.150279,-95.651179,eia860,medium,86.3,Castor,LZ_WEST,138.0,65870,,,,,,,,,,,,,,,,,,
CASTROS,29.0,-98.0,lz_centroid,none,0,,LZ_SOUTH,138.0,,,,,,,,,,,,,,,,,,,
CAST_ESS,29.271,-98.456,propagated,low,0,,LZ_HOUSTON,138.0,,,BEXAR_ES,,,,,,,,,,,,,,,,
CATARINA,28.34705,-99.673703,snap_eia860,medium,89.5,Caterina,LZ_SOUTH,138.0,65809,822462023,,DIMMIT,,True,13.7,,,,,,eia860,medium,0.120,auto,same_lz_nearest_osm_le_1km,,138.0
CATERP,34.058868,-101.17975,propagated,low,0,,LZ_SOUTH,138.0,,,WHIT_RVR,,,,,,,,,,,,,,,,
CATHY,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,69.0,,,,,,,,,,,,,,,,,,,
CATTAIL,28.9275,-99.0919,propagated,low,0,,LZ_HOUSTON,138.0,,,PEARSALL,,,,,,,,,,,,,,,,
CAUSEWAY,26.072839,-97.203469,osm,high,100,Causeway Substation,LZ_SOUTH,138.0,,513362331,,,,,,,,,,,,,,,,,
CAV,31.503698,-97.762643,propagated,low,0,,LZ_HOUSTON,138.0,,,GATESVL2,,,,,,,,,,,,,,,,
CAVDR_RC,32.857896,-97.511964,propagated,low,0,,LZ_NORTH,138.0,,,AZLES,,,,,,,,,,,,,,,,
CAYMUS,27.827464,-97.524699,propagated,low,0,,LZ_WEST,138.0,,,KOCH_UP,,,,,,,,,,,,,,,,
CAYMUSCP,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,138.0,,,,,,,,,,,,,,,,,,,
CAYMUSJP,34.293881,-99.369403,propagated,low,0,,LZ_WEST,138.0,,,BLSUMMIT,,,,,,,,,,,,,,,,
CAYMUSPL,32.094466,-98.972723,propagated,low,0,,LZ_WEST,138.0,,,RISNGSTR,,,,,,,,,,,,,,,,
CAYOTE,31.81446,-97.396428,osm,high,100,Cayote Substation,LZ_NORTH,138.0,,461754710,,,,,,,,,,,,,,,,,
CB,26.287936,-98.145074,propagated,low,0,,LZ_HOUSTON,138.0,,,SE,,,,,,,,,,,,,,,,
CBEC,29.2878,-96.0683,snap_mora_eia860,medium,94.6,Colorado Bend Energy Center,LZ_SOUTH,138.0,56350,520385215,LONESTR,WHARTON,GAS-CC,,,,,,,,mora_eia860,high,0.150,auto,same_lz_nearest_osm_le_1km,Colorado Bend Substation,138.0
CBECII,29.289415,-96.065399,mora_eia860,high,95.5,Colorado Bend II,LZ_HOUSTON,345.0,60122,,NAVO,WHARTON,GAS-CC,,,,,,,,,,,,,,
CBFSW,32.864296,-101.005588,hv_endpoint,low,0,,LZ_WEST,345.0,,,DMTSW,,,,,,,,,2.8,,,,,,,
CBRPD,30.464605,-97.757305,propagated,low,0,,LZ_NORTH,138.0,,,NORTHWES,,,,,,,,,,,,,,,,
CBY,29.75,-94.9256,snap_mora_eia860,medium,93.8,Cedar Bayou,LZ_HOUSTON,345.0,3460,39962537,LOMA_ALT,CHAMBERS,GAS-ST,,,,,,,,mora_eia860,high,0.213,auto,same_lz_nearest_osm_le_1km,Cedar Bayou Plant Substation,345.0
CBY4,29.75,-94.9256,mora_eia860,medium,91.5,Cedar Bayou,LZ_HOUSTON,345.0,3460,,DMTSW,CHAMBERS,GAS-CC,,,,,,,,,,,,,,
CC,26.287936,-98.145074,propagated,low,0,,LZ_HOUSTON,138.0,,,SE,,,,,,,,,,,,,,,,
CCEC,31.503698,-97.762643,propagated,low,0,,LZ_SOUTH,138.0,,,GATESVL2,,,,,,,,,,,,,,,,
CCK,28.986071,-95.358454,hv_endpoint,low,0,,LZ_HOUSTON,345.0,,,DOW,,,,,,,,,0.0,,,,,,,
CCLSW,29.183513,-99.834833,propagated,low,0,,LZ_WEST,138.0,,,W_LD_138,,,,,,,,,,,,,,,,
CCPMP,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,,,,,,,,,,,,,,,,,
CCRSW,31.95206,-97.864845,hv_endpoint,low,0,,LZ_WEST,345.0,,,GATESVL2,,,,,,,,,50.8,,,,,,,
CCTROUP,32.144604,-95.1205,gnis,high,100.0,Troup,LZ_NORTH,69.0,,,ROUGH,,,,,Populated Place,SMITH,TROUP,,,,,,,,,
CD,28.938587,-95.73662,gnis,medium,87.0,Cedar Lane,LZ_HOUSTON,138.0,,,SE,,,,,Populated Place,MATAGORDA,CEDAR,,,,,,,,,
CDCRK,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,,,,,,,,,,,,,,,,,
CDCST,32.857896,-97.511964,propagated,low,0,,LZ_NORTH,138.0,,,AZLES,,,,,,,,,,,,,,,,
CDCSW,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,,,,,,,,,,,,,,,,,
CDESW,29.183513,-99.834833,propagated,low,0,,LZ_NORTH,345.0,,,W_LD_138,,,,,,,,,,,,,,,,
CDHCR,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,,,,,,,,,,,,,,,,,
CDHIL,31.503698,-97.762643,propagated,low,0,,LZ_NORTH,138.0,,,GATESVL2,,,,,,,,,,,,,,,,
CDHSW,35.27371,-97.510231,hv_endpoint,low,0,,LZ_NORTH,345.0,,,PAYNE,,,,,,,,,42.6,,,,,,,
CDRSS_RC,32.857896,-97.511964,propagated,low,0,,LZ_NORTH,138.0,,,AZLES,,,,,,,,,,,,,,,,
CE,29.707454,-95.688003,gnis,high,93.8,Clodine,LZ_HOUSTON,138.0,,,PT,,,,,Populated Place,FORT BEND,CLODIN,,,,,,,,,
CEBOLLA,32.713595,-103.301752,propagated,low,0,,LZ_SOUTH,345.0,,,MADDUX,,,,,,,,,,,,,,,,
CEDACA,35.201489,-99.92982,hv_endpoint,low,0,,LZ_WEST,345.0,,,CHISOLM,,,,,,,,,27.3,,,,,,,
CEDAHI,30.314041,-97.379273,osm,medium,84.1,Cedar Hill Substation,LZ_SOUTH,138.0,,173171878,,,,,,,,,,,,,,,,,
CEDARGAP,32.313603,-99.752806,osm,high,100.0,Cedar Gap Substation,LZ_WEST,69.0,,491192807,,,,,,,,,,,,,,,,,
CEDARHIL,32.588469,-96.956115,gnis,high,95.7,Cedar Hill,LZ_NORTH,138.0,,,GATESVL2,,,,,Populated Place,DALLAS,CEDARHILL,,,,,,,,,
CEDARVAL,36.348181,-98.908056,osm,medium,89.8,Cedardale Substation,LZ_NORTH,138.0,,1319739872,,,,,,,,,,,,,,,,,
CEDAVA,29.594397,-97.956333,propagated,low,0,,LZ_SOUTH,138.0,,,SEGUIN,,,,,,,,,,,,,,,,
CEDRHILL,32.014339,-100.73899,osm,medium,90.8,Cedar Hill Switching Station,LZ_WEST,69.0,,491401754,,,,,,,,,,,,,,,,,
CEDROHIL,27.563873,-98.920179,osm,high,95.6,Cedro Hill Substation,LZ_SOUTH,138.0,,451971739,,WEBB,,True,27.5,,,,,,,,,,,,
CEDRVALE,32.865417,-97.099401,propagated,low,0,,LZ_WEST,138.0,,,EULES,,,,,,,,,,,,,,,,
CELANEBC,27.318515,-97.810266,propagated,low,0,,LZ_SOUTH,138.0,,,LOYOLA,,,,,,,,,,,,,,,,
CELANEBI,27.318515,-97.810266,propagated,low,0,,LZ_SOUTH,138.0,,,LOYOLA,,,,,,,,,,,,,,,,
CELINARC,33.324559,-96.784442,gnis,medium,88.5,Celina,LZ_NORTH,138.0,,,GATESVL2,,,,,Populated Place,COLLIN,CELINARC,,,,,,,,,
CENAUS,33.221074,-96.917938,propagated,low,0,,LZ_SOUTH,69.0,,,NAVO,,,,,,,,,,,,,,,,
CENIZO,27.327793,-99.4119,osm,high,100,Cenizo Substation,LZ_SOUTH,345.0,,451971746,,,,,,,,,,,,,,,,,
CENTEX,30.054126,-97.858896,osm,high,100,Centex Substation,LZ_SOUTH,69.0,,294894407,,,,,,,,,,,,,,,,,
CENTRVIL,32.871009,-96.63465,osm,medium,91.7,Centerville Substation,LZ_NORTH,138.0,,346527373,,,,,,,,,,,,,,,,,
CERMC,32.760166,-96.575623,propagated,low,0,,LZ_WEST,138.0,,,MESQT,,,,,,,,,,,,,,,,
CF,26.287936,-98.145074,propagated,low,0,,LZ_HOUSTON,138.0,,,SE,,,,,,,,,,,,,,,,
CFLATS,31.112474,-100.028142,mora_eia860,medium,84.9,Cactus Flats Wind Energy Project,LZ_WEST,138.0,61001,,TRIANGLE,CONCHO,WIND-O,,,,,,,,,,,,,,
CFLAT_ES,29.271,-98.456,propagated,low,0,,LZ_SOUTH,138.0,,,BEXAR_ES,,,,,,,,,,,,,,,,
CFRSW,31.95206,-97.864845,hv_endpoint,low,0,,LZ_WEST,345.0,,,GATESVL2,,,,,,,,,50.8,,,,,,,
CG,31.4647,-96.985,propagated,low,0,,LZ_HOUSTON,138.0,,,LK,,,,,,,,,,,,,,,,
CGR,31.4647,-96.985,propagated,low,0,,LZ_HOUSTON,138.0,,,LK,,,,,,,,,,,,,,,,
CGRSW,29.388846,-98.348902,gnis,medium,87.3,China Grove,LZ_WEST,138.0,,,SPUD,,,,,Populated Place,BEXAR,CHINAGRV,,,,,,,,,
CH20,26.191337,-97.665118,propagated,low,0,,LZ_WEST,69.0,,,E_HARRIS,,,,,,,,,,,,,,,,
CHALK,32.111254,-101.276461,osm,high,100,Chalk Substation,LZ_WEST,69.0,,20989583,,,,,,,,,,,,,,,,,
CHALMERS,29.071087,-95.961623,gnis,high,100.0,Chalmers,LZ_SOUTH,138.0,,,ELGATO,,,,,Populated Place,HUNT,CHALMERS,,,,,,,,,
CHALUPA,32.311556,-100.061589,propagated,low,0,,LZ_SOUTH,138.0,,,BUFFALO,,,,,,,,,,,,,,,,
CHAL_SLR,30.249881,-97.720949,propagated,low,0,,LZ_WEST,138.0,,,PEDERNAL,,,,,,,,,,,,,,,,
CHAMB_RC,31.594864,-103.249847,propagated,low,0,,LZ_NORTH,138.0,,,LONESTR,,,,,,,,,,,,,,,,
CHAMON,29.883214,-95.111345,eia860,medium,90.1,Chamon Power LLC,LZ_HOUSTON,138.0,60460,,,HARRIS,,True,21.8,,,,,,,,,,,,
CHAMP,32.358733,-100.620385,gnis,high,100.0,Champion,LZ_NORTH,138.0,,,HORNSB,,,,,Populated Place,NOLAN,CHAMPION,,,,,,,,,
CHAMPION,32.3983,-100.6481,snap_eia860,medium,92.0,Champion Wind Farm LLC,LZ_WEST,345.0,56592,171793190,,NOLAN,,True,29.1,,,,,,eia860,high,0.056,auto,same_lz_nearest_osm_le_1km,Champion Wind Farm Substation,345.0
CHAMPLIN,27.809838,-97.496684,osm,medium,88.5,Champlin - Citgo West Substation,LZ_SOUTH,138.0,,488508198,,,,,,,,,,,,,,,,,
CHAPARRO,32.482748,-99.926677,propagated,low,0,,LZ_SOUTH,69.0,,,CAPELLA,,,,,,,,,,,,,,,,
